"","nazwa","teryt"
"200","powiat wodzisławski","2415"
"201","powiat leski","1821"
"202","powiat bieszczadzki","1801"
"203","powiat prudnicki","1610"
"204","powiat ząbkowicki","0224"
"205","powiat makowski","1411"
"206","powiat pszczyński","2410"
"207","powiat gołdapski","2818"
"208","powiat Sopot","2264"
"209","powiat rzeszowski","1816"
"210","powiat jeleniogórski","0206"
"211","powiat świdnicki","0219"
"212","powiat opoczyński","1007"
"213","powiat człuchowski","2203"
"214","powiat ostrowski","3017"
"215","powiat Kalisz","3061"
"216","powiat strzyżowski","1819"
"217","powiat miński","1412"
"218","powiat zwoleński","1436"
"219","powiat żuromiński","1437"
"220","powiat lubelski","0609"
"221","powiat proszowicki","1214"
"222","powiat wielicki","1219"
"223","powiat sieradzki","1014"
"224","powiat brzeziński","1021"
"225","powiat strzelecko-drezdenecki","0806"
"226","powiat świebodziński","0808"
"227","powiat leżajski","1808"
"228","powiat lubaczowski","1809"
"229","powiat chodzieski","3001"
"230","powiat międzychodzki","3014"
"231","powiat kluczborski","1604"
"232","powiat jędrzejowski","2602"
"233","powiat gostyński","3004"
"234","powiat kazimierski","2603"
"235","powiat kaliski","3007"
"236","powiat siemiatycki","2010"
"237","powiat gdański","2204"
"238","powiat szczycieński","2817"
"239","powiat łobeski","3218"
"240","powiat gryficki","3205"
"241","powiat myszkowski","2409"
"242","powiat oleśnicki","0214"
"243","powiat strzeliński","0217"
"244","powiat wąbrzeski","0417"
"245","powiat kętrzyński","2808"
"246","powiat białostocki","2002"
"247","powiat augustowski","2001"
"248","powiat wałbrzyski","0221"
"249","powiat kłodzki","0208"
"250","powiat Tychy","2477"
"251","powiat Rybnik","2473"
"252","powiat sokołowski","1429"
"253","powiat grójecki","1406"
"254","powiat lubartowski","0608"
"255","powiat puławski","0614"
"256","powiat radzyński","0615"
"257","powiat Biała Podlaska","0661"
"258","powiat Nowy Sącz","1262"
"259","powiat Gorzów Wielkopolski","0861"
"260","powiat pilski","3019"
"261","powiat wysokomazowiecki","2013"
"262","powiat buski","2601"
"263","powiat śremski","3026"
"264","powiat kępiński","3008"
"265","powiat turecki","3027"
"266","powiat opatowski","2606"
"267","powiat Słupsk","2263"
"268","powiat pińczowski","2608"
"269","powiat koszaliński","3209"
"270","powiat bielski","2402"
"271","powiat będziński","2401"
"272","powiat węgorzewski","2819"
"273","powiat bieruńsko-lędziński","2414"
"274","powiat policki","3211"
"275","powiat polkowicki","0216"
"276","powiat Jastrzębie-Zdrój","2467"
"277","powiat tatrzański","1217"
"278","powiat nowotarski","1211"
"279","powiat lwówecki","0212"
"280","powiat legionowski","1408"
"281","powiat olecki","2813"
"282","powiat tomaszowski","1016"
"283","powiat zambrowski","2014"
"284","powiat bytowski","2201"
"285","powiat płocki","1419"
"286","powiat pułtuski","1424"
"287","powiat sochaczewski","1428"
"288","powiat ciechanowski","1402"
"289","powiat bialski","0601"
"290","powiat krasnostawski","0606"
"291","powiat zamojski","0620"
"292","powiat tarnowski","1216"
"293","powiat bełchatowski","1001"
"294","powiat łaski","1003"
"295","powiat łęczycki","1004"
"296","powiat pajęczański","1009"
"297","powiat radomszczański","1012"
"298","powiat zduńskowolski","1019"
"299","powiat nowosolski","0804"
"300","powiat jarosławski","1804"
"301","powiat mielecki","1811"
"302","powiat Warszawa","1465"
"303","powiat krapkowicki","1605"
"304","powiat moniecki","2008"
"305","powiat kielecki","2604"
"306","powiat wrzesiński","3030"
"307","powiat gnieźnieński","3003"
"308","powiat malborski","2209"
"309","powiat lidzbarski","2809"
"310","powiat olsztyński","2814"
"311","powiat sławieński","3213"
"312","powiat działdowski","2803"
"313","powiat górowski","0204"
"314","powiat sztumski","2216"
"315","powiat kwidzyński","2207"
"316","powiat Dąbrowa Górnicza","2465"
"317","powiat Mysłowice","2470"
"318","powiat myśliborski","3210"
"319","powiat golubsko-dobrzyński","0405"
"320","powiat aleksandrowski","0401"
"321","powiat świecki","0414"
"322","powiat pleszewski","3020"
"323","powiat Krosno","1861"
"324","powiat sejneński","2009"
"325","powiat sanocki","1817"
"326","powiat suski","1215"
"327","powiat zielonogórski","0809"
"328","powiat wołomiński","1434"
"329","powiat mikołowski","2408"
"330","powiat goleniowski","3204"
"331","powiat Rzeszów","1863"
"332","powiat łomżyński","2007"
"333","powiat opolski","1609"
"334","powiat wałecki","3217"
"335","powiat drawski","3203"
"336","powiat chojnicki","2202"
"337","powiat przeworski","1814"
"338","powiat otwocki","1417"
"339","powiat kozienicki","1407"
"340","powiat janowski","0605"
"341","powiat limanowski","1207"
"342","powiat miechowski","1208"
"343","powiat myślenicki","1209"
"344","powiat olkuski","1212"
"345","powiat oświęcimski","1213"
"346","powiat Piotrków Trybunalski","1062"
"347","powiat poddębicki","1011"
"348","powiat wieluński","1017"
"349","powiat brzozowski","1802"
"350","powiat kędzierzyńsko-kozielski","1603"
"351","powiat krotoszyński","3012"
"352","powiat Białystok","2061"
"353","powiat wolsztyński","3029"
"354","powiat sandomierski","2609"
"355","powiat szczecinecki","3215"
"356","powiat świdwiński","3216"
"357","powiat piski","2816"
"358","powiat Świętochłowice","2476"
"359","powiat Zabrze","2478"
"360","powiat Olsztyn","2862"
"361","powiat braniewski","2802"
"362","powiat kamieński","3207"
"363","powiat Częstochowa","2464"
"364","powiat trzebnicki","0220"
"365","powiat bydgoski","0403"
"366","powiat oławski","0215"
"367","powiat średzki","0218"
"368","powiat legnicki","0209"
"369","powiat Bydgoszcz","0461"
"370","powiat Grudziądz","0462"
"371","powiat rypiński","0412"
"372","powiat gorlicki","1205"
"373","powiat lubański","0210"
"374","powiat wadowicki","1218"
"375","powiat ostrołęcki","1415"
"376","powiat Żory","2479"
"377","powiat nowodworski","2210"
"378","powiat jaworski","0205"
"379","powiat poznański","3021"
"380","powiat koniński","3010"
