"","nazwa","teryt"
"161","STARA BIAŁA","141913_2"
"162","BRWINÓW","142103_5"
"163","Skórzec","142609_2"
"164","RASZYN","142106_2"
"165","Suchożebry","142610_2"
"166","Pokrzywnica","142403_2"
"167","BŁONIE - OBSZAR WIEJSKI","143201_5"
"168","KOSÓW LACKI - OBSZAR WIEJSKI","142905_5"
"169","RYBNO","142806_2"
"170","BIELANY","142902_2"
"171","TERESIN","142808_2"
"172","TŁUSZCZ - OBSZAR WIEJSKI","143411_5"
"173","SADOWNE","143307_2"
"174","PRZYŁĘK","143603_2"
"175","MOKOTÓW","146505_8"
"176","Jasło - miasto","180501_1"
"177","OLSZANKA","160106_2"
"178","DORODZIEŃ - OBSZAR WIEJSKI","160801_5"
"179","TARNÓW OPOLSKI","160911_2"
"180","BIAŁA - OBSZAR WIEJSKI","161001_5"
"181","Ustrzyki Dolne","180108_4"
"182","STRZELECZKI","160503_2"
"183","OLESNO - MIASTO","160803_4"
"184","Pilzno - miasto w gminie miejsko-wiejskiej","180306_4"
"185","Bierawa","160302_2"
"186","GORZÓW ŚLĄSKI - MIASTO","160802_4"
"187","WILANÓW","146516_8"
"188","BYCZYNA - OBSZAR WIEJSKI","160401_5"
"189","OLESNO - OBSZAR WIEJSKI","160803_5"
"190","ZDZIESZOWICE - OBSZAR WIEJSKI","160505_5"
"191","Żoliborz","146519_8"
"192","Kędzierzyn-Koźle","160301_1"
"193","ŁAMBINOWICE","160704_2"
"194","RUDNIKI","160806_2"
"195","BABORÓW - MIASTO","160201_4"
"196","Cisek","160303_2"
"197","Polska Cerekiew","160305_2"
"198","GŁOGÓWEK - MIASTO","161002_4"
"199","ROŹWIENICA","180410_2"
"200","RAJGRÓD - MIASTO","200404_4"
"201","Jedlicze - G","180704_5"
"202","KNYSZYN - MIASTO","200804_4"
"203","CZYŻE","200504_2"
"204","Jaświły","200803_2"
"205","SIEMIATYCZE","201001_1"
"206","RAJGRÓD - OBSZAR WIEJSKI","200404_5"
"207","KLUKOWO","201304_2"
"208","SUCHOWOLA - MIASTO","201109_4"
"209","PERLEJEWO","201008_2"
"210","DEBRZNO MIASTO","220304_4"
"211","CZYŻEW","201303_4"
"212","Suchy Dąb","220407_2"
"213","Gniew - G","221402_5"
"214","Cedry Wielkie","220402_2"
"215","Trąbki Wielkie","220408_2"
"216","Nowa Wieś Lęborska","220804_2"
"217","Ustka - G","221210_2"
"218","Sztum - G","221605_5"
"219","Główczyce","221204_2"
"220","ŁĘCZYCE","221508_2"
"221","m Kościerzyna","220601_1"
"222","LINIA","221506_2"
"223","Żywiec","241701_1"
"224","Ślemień","241712_2"
"225","Mierzęcice","240105_2"
"226","Myszków","240901_1"
"227","Imielin","241402_1"
"228","Starcza","240416_2"
"229","PSZÓW","241501_1"
"230","RYDUŁTOWY","241503_1"
"231","WILKOWICE","240210_2"
"232","Wielowieś","240508_2"
"233","Kłobuck - obszar wiejski","240601_5"
"234","Siemianowice Śląskie","247401_1"
"235","CZERWIONKA-LESZCZYNY (M)","241201_4"
"236","Olsztyn","240412_2"
"237","Milówka","241709_2"
"238","Lipowa","241706_2"
"239","Częstochowa","246401_1"
"240","Pawonków","240707_2"
"241","M.Sosnowiec","247501_1"
"242","Daleszyce - obszar wiejski","260405_5"
"243","Bodzentyn - miasto","260402_4"
"244","Łopuszno","260408_2"
"245","Miasto Iława","280701_1"
"246","Chęciny - miasto","260403_4"
"247","OKSA","260205_2"
"248","STĄPORKÓW - obszar wiejski","260508_5"
"249","SĘDZISZÓW - miasto","260206_4"
"250","OŻARÓW MIASTO","260605_4"
"251","Łączna","261003_2"
"252","SKALBMIERZ - miasto","260305_4"
"253","DWIKOZY","260902_2"
"254","Bodzechów","260703_2"
"255","SADOWIE","260606_2"
"256","LIDZBARK-miasto","280304_4"
"257","Osiek - miasto","261204_4"
"258","Płośnica","280305_2"
"259","Kielce-miasto","266101_1"
"260","Gm_Płoskinia","280206_2"
"261","GMINA KIWITY","280902_2"
"262","KORSZE - OBSZAR WIEJSKI","280804_5"
"263","RESZEL - OBSZAR WIEJSKI","280805_5"
"264","PASŁĘK - MIASTO","280407_4"
"265","PROSTKI","280504_2"
"266","JEZIORANY","281406_5"
"267","Kozłowo","281103_2"
"268","ORNETA miasto","280905_4"
"269","MIASTO OLSZTYNEK","281409_4"
"270","MIASTO BARCZEWO","281401_4"
"271","MIASTO OSTRÓDA","281501_1"
"272","MIELESZYN","300307_2"
"273","KŁECKO - OBSZAR WIEJSKI","300305_5"
"274","GNIEZNO - MIASTO","300301_1"
"275","TRZEMESZNO - OBSZAR WIEJSKI","300309_5"
"276","Gostyń - miasto","300402_4"
"277","Piaski","300405_2"
"278","STAWISZYN - MIASTO","300709_4"
"279","GRODZISK WIELKOPOLSKI - miasto","300502_4"
"280","OLSZÓWKA","300909_2"
"281","DĄBIE MIASTO","300904_4"
"282","PRZEDECZ OBSZAR WIEJSKI","300911_5"
"283","SKULSK","301009_2"
"284","KĘPNO (M)","300803_4"
"285","SIERAKÓW - obszar wiejski","301404_5"
"286","RYCHWAŁ MIASTO","301007_4"
"287","M. Ostrów Wielkopolski","301701_1"
"288","KOBYLIN - MIASTO","301202_4"
"289","KOBYLIN - OBSZAR WIEJSKI","301202_5"
"290","WILCZYN","301014_2"
"291","MIEDZICHOWO","301503_2"
"292","Włoszakowice","301307_2"
"293","ŁOBŻENICA - OBSZAR WIEJSKI","301904_5"
"294","Raszków miasto","301706_4"
"295","PLESZEW - miasto","302006_4"
"296","Ostrów Wielkopolski","301704_2"
"297","UJŚCIE - MIASTO","301907_4"
"298","ZAGÓRÓW - OBSZAR WIEJSKI","302308_5"
"299","PLESZEW - obszar wiejski","302006_5"
"300","POBIEDZISKA - MIASTO","302112_4"
"301","KOSTRZYN-OBSZAR WIEJSKI","302108_5"
"302","SWARZĘDZ-MIASTO","302116_4"
"303","Raszków obszar wiejski","301706_5"
"304","WRONKI-OBSZAR WIEJSKI","302408_5"
"305","GOŁAŃCZ MIASTO","302803_4"
"306","MIEŚCISKO","302804_2"
"307","SZAMOTUŁY-OBSZAR WIEJSKI","302407_5"
"308","Brudzew","302702_2"
"309","Karlino obszar wiejski","320103_5"
"310","WRZEŚNIA - miasto","303005_4"
"311","KRAJENKA - OBSZAR WIEJSKI","303103_5"
"312","OKONEK - MIASTO","303105_4"
"313","Kamień Pomorski - miasto","320703_4"
"314","Cedynia - M","320602_4"
"315","Moryń - M","320606_4"
"316","Świerzno","320705_2"
"317","Brojce","320501_2"
"318","Miasto Maszewo","320403_4"
"319","Będzino","320901_2"
"320","Ińsko - miasto","321405_4"
"321","Biesiekierz","320902_2"
"322","Gmina Police","321104_5"
"323","Trzcianne","200807_2"
"324","ŁÓDŹ-WIDZEW","106106_9"
"325","Gmina Zalewo","280707_5"
"326","Krasnystaw","060605_2"
"327","Mełgiew","061702_2"
"328","Horodło","060403_2"
"329","Gmina Dębica","180304_2"
"330","Osie","041407_2"
"331","Mielec","181105_2"
"332","Stara Kiszewa","220608_2"
"333","MILEJEWO","280405_2"
"334","HUSZLEW","141001_2"
"335","MŁYNARY - OBSZAR WIEJSKI","280406_5"
"336","Tychowo obszar wiejski","320104_5"
"337","GODKOWO","280402_2"
"338","KOLNO","281408_2"
"339","Nidzica - obszar wiejski","281104_5"
"340","BISKUPIEC","281202_2"
"341","GMINA MALECHOWO","321304_2"
"342","MILEJCZYCE","201006_2"
"343","KALISZ POMORSKI - Obszar Wiejski","320303_5"
"344","Czersk - M","220204_4"
"345","Poddębice-miasto","101103_4"
"346","BEDLNO","100202_2"
"347","Jelcz-Laskowice - obszar wiejski","021503_5"
"348","ŻUKOWICE","020306_2"
"349","MŚCIWOJÓW","020504_2"
"350","Kamienna Góra - obszar wiejski","020702_2"
"351","MYSZYNIEC-miasto","141508_4"
"352","RABA WYŻNA","121111_2"
"353","Żarów - obszar wiejski","021908_5"
"354","Gmina Piecki","281004_2"
"355","PŁASKA","200106_2"
"356","GODÓW","241505_2"
"357","SZCZAWNICA","121102_4"
"358","Piwniczna-Zdrój - wieś","121013_5"
"359","Muszyna - wieś","121011_5"
"360","Muszyna - miasto","121011_4"
"361","Uście Gorlickie","120510_2"
"362","Stronie Śląskie - obszar wiejski","020813_5"
"363","Radków - obszar wiejski","020812_5"
"364","Michałowo","200207_4"
"365","Mielno - miasto","320905_4"
"366","Radoszyce - miasto","260504_4"
"367","Radoszyce - obszar wiejski","260504_5"
"368","Modliborzyce - miasto","060506_4"
"369","Opatówek - miasto","300708_4"
"370","Tułowice - miasto","160912_4"
"371","Jasionówka","200802_2"
"372","KNYSZYN - OBSZAR WIEJSKI","200804_5"
"373","GRAJEWO","200402_2"
"374","Chojnice - G","220203_2"
"375","Tychy","247701_1"
"376","Żory","247901_1"
"377","Zbąszynek obszar wiejski","080806_5"
"378","SŁAWA - MIASTO","081201_4"
"379","PUŁTUSK - OBSZAR WIEJSKI","142404_5"
"380","PUŁTUSK - MIASTO","142404_4"
"381","Świnoujście Miasto","326301_1"
"382","OTMUCHÓW - MIASTO","160706_4"
"383","OTMUCHÓW - OBSZAR WIEJSKI","160706_5"
"384","TRZEBNICA - OBSZAR WIEJSKI","022003_5"
"385","Jarocin - obszar wiejski","300602_5"
"386","Władysławowo - miasto","221104_4"
"387","ZŁOCIENIEC - Obszar Wiejski","320306_5"
"388","SĘDZISZÓW MAŁOPOLSKI - OBSZAR WIEJSKI","181504_5"
"389","KOŚCIAN - miasto","301101_1"
"390","KOŚCIAN","301103_2"
"391","Ryńsk","041705_2"
"392","Wielbark - miasto","281708_4"
"393","SZEPIETOWO","201309_4"
"394","CZERNIEWICE","101604_2"
"395","Andrzejewo","141602_2"
"396","SZUMOWO","201404_2"
"397","DOBRZEŃ WIELKI","160903_2"
"398","Czarna Woda - miasto","221301_4"
"399","OSTRÓDA","281509_2"
"400","TARNOWO PODGÓRNE","302117_2"
"401","KRAMSK","301005_2"
"402","Zaklików - miasto","181805_4"
"403","Lubowidz - miasto","143703_4"
"404","Przecław - obszar wiejski","181107_5"
"405","Stubno","181309_2"
"406","SOLINA","182105_2"
"407","Chmielnik","181604_2"
"408","Pysznica","181803_2"
"409","ŁAPY MIASTO","200206_4"
"410","ZAWADY","200215_2"
"411","gm. Zabłudów","200214_5"
"412","Nowogrodziec - miasto","020104_4"
"413","Warta Bolesławiecka","020106_2"
"414","Miasto Bolesławiec","020101_1"
"415","Dzierżoniów - gmina","020205_2"
"416","Osiecznica","020105_2"
"417","Nowa Ruda - miasto","020804_1"
"418","Lwówek Śląski - obszar wiejski","021203_5"
"419","Prochowice - miasto","020907_4"
"420","Cieszków","021301_2"
"421","Syców - Miasto","021407_4"
"422","Oleśnica Gmina","021406_2"
"423","KONDRATOWICE","021702_2"
"424","Syców - Obszar Wiejski","021407_5"
"425","STRZELIN - OBSZAR WIEJSKI","021704_5"
"426","Polkowice miasto","021604_4"
"427","Marcinowice","021905_2"
"428","WALIM","022108_2"
"429","Długołęka","022302_2"
"430","Gmina Waganiec","040108_2"
"431","PIELGRZYMKA","022603_2"
"432","BRZOZIE","040204_2"
"433","Unisław","040407_2"
"434","Stolno","040406_2"
