"","nazwa","teryt"
"217","Babimost","0809013"
"218","Czarnocin","1010022"
"219","Moszczenica","1010062"
"220","Rozprza","1010082"
"221","Poddębice","1011033"
"222","Borkowice","1423012"
"223","Klwów","1423032"
"224","Rusinów","1423072"
"225","Dobrodzień","1608013"
"226","Iwkowa","1202062"
"227","Mońki","2008063"
"228","Boguszów-Gorce","0221011"
"229","Kamienica Polska","2404042"
"230","Michów","0608082"
"231","Ostrówek","0608112"
"232","Czerwieńsk","0809033"
"233","Gomunice","1012042"
"234","Lgota Wielka","1012082"
"235","Radomsko","1012122"
"236","Jastrzębia","1425042"
"237","Ozimek","1609083"
"238","Babice","1203022"
"239","Mędrzechów","1204042"
"240","Perlejewo","2010082"
"241","Wołów","0222033"
"242","Długołęka","0223022"
"243","Krzęcin","3202042"
"244","Czarna Dąbrówka","2201032"
"245","Brąszewice","1014032"
"246","Wolanów","1425122"
"247","Mordy","1426053"
"248","Siedlce","1426082"
"249","Leśnica","1611043"
"250","Ujazd","1611063"
"251","Zawadzkie","1611073"
"252","Biecz","1205023"
"253","Puńsk","2009042"
"254","Kuźnica","2011052"
"255","Sidra","2011072"
"256","Stoczek Łukowski","0611021"
"257","Debrzno","2203043"
"258","Głuchów","1015022"
"259","Zawidz","1427072"
"260","Sokołów Podlaski","1429011"
"261","Skarbimierz","1601022"
"262","Jasienica Rosielna","1802052"
"263","Czarna","1801032"
"264","Liszki","1206072"
"265","Sokółka","2011083"
"266","Suwałki","2012072"
"267","Klukowo","2013042"
"268","Milanów","0613032"
"269","Inowłódz","1016052"
"270","Lubochnia","1016062"
"271","Sterdyń","1429092"
"272","Sochaczew","1428011"
"273","Iłów","1428032"
"274","Sochaczew","1428072"
"275","Teresin","1428082"
"276","Jarosław","1804042"
"277","Limanowa","1207011"
"278","Słopnice","1207112"
"279","Dąbrowa Chełmińska","0403022"
"280","Solec Kujawski","0403083"
"281","Ciechocin","0405022"
"282","Radomin","0405052"
"283","Świerzno","3207052"
"284","Chojna","3206033"
"285","Żychlin","1002113"
"286","Bedlno","1002022"
"287","Bielawa","0202011"
"288","Ryńsk","0417052"
"289","Rajcza","2417112"
"290","Godów","2415052"
"291","Istebna","2403092"
"292","Cisna","1821022"
"293","Lutowiska","1801052"
"294","Mrozy","1412123"
"295","Szczawnica","1211023"
"296","Sękowa","1205092"
"297","Szczytna","0208143"
"298","Lewin Kłodzki","0208092"
"299","Józefów nad Wisłą","0612023"
"300","Wiślica","2601083"
"301","Sanniki","1404043"
"302","Jednorożec","1422042"
"303","Jasionówka","2008022"
"304","Tychy","2477011"
"305","Nowe Miasto nad Wartą","3025032"
"306","Sopot","2264011"
"307","Hel","2211011"
"308","Krokowa","2211062"
"309","Rawa Mazowiecka","1013042"
"310","Zduńska Wola","1019042"
"311","Czerniewice","1016042"
"312","Mały Płock","2006042"
"313","Iława","2807032"
"314","Bartoszyce","2801032"
"315","Oleśnica","2612033"
"316","Busko-Zdrój","2601013"
"317","Chmielnik","2604043"
"318","Górno","2604062"
"319","Iwaniska","2606022"
"320","Fałków","2605012"
"321","Skarżysko-Kamienna","2610011"
"322","Michałów","2608032"
"323","Bodzechów","2607032"
"324","Rytwiany","2612062"
"325","Krasocin","2613022"
"326","Kielce","2661011"
"327","Młynary","2804063"
"328","Prostki","2805042"
"329","Kętrzyn","2808032"
"330","Reszel","2808053"
"331","Orneta","2809053"
"332","Olsztynek","2814093"
"333","Kiwity","2809022"
"334","Piecki","2810042"
"335","Kurzętnik","2812042"
"336","Ruciane-Nida","2816043"
"337","Biała Piska","2816013"
"338","Pisz","2816033"
"339","Miłakowo","2815063"
"340","Frombork","2802033"
"341","Górowo Iławeckie","2801021"
"342","Braniewo","2802011"
"343","Krzemieniewo","3013012"
"344","Chodzież","3001032"
"345","Rogoźno","3016023"
"346","Sieraków","3014043"
"347","Chrzypsko Wielkie","3014012"
"348","Ostrów Wielkopolski","3017011"
"349","Białośliwie","3019022"
"350","Łobżenica","3019043"
"351","Mosina","3021103"
"352","Mieścisko","3028042"
"353","Wągrowiec","3028011"
"354","Tuliszków","3027073"
"355","Jastrowie","3031023"
"356","Kołaczkowo","3030012"
"357","Kamieniec","3005032"
"358","Rychwał","3010073"
"359","Ślesin","3010123"
"360","Leszno","3063011"
"361","Kłecko","3003053"
"362","Kościelec","3009082"
"363","Przedecz","3009113"
"364","Koło","3009011"
"365","Olszówka","3009092"
"366","Witkowo","3003103"
"367","Poniec","3004073"
"368","Krzepice","2406023"
"369","Sulmierzyce","3012011"
"370","Krzywiń","3011043"
"371","Popów","2406072"
"372","Pilchowice","2405042"
"373","Boronów","2407022"
"374","Herby","2407042"
"375","Czerwionka-Leszczyny","2412013"
"376","Imielin","2414021"
"377","Lędziny","2414031"
"378","Zawiercie","2416021"
"379","Roźwienica","1804102"
"380","Gołcza","1208022"
"381","Inowrocław","0407042"
"382","Żyrzyn","0614112"
"383","Nałęczów","0614083"
"384","Dziemiany","2206022"
"385","Kościerzyna","2206042"
"386","Stara Kiszewa","2206082"
"387","Lichnowy","2209032"
"388","Sokolniki","1018062"
"389","Lututów","1018042"
"390","Tarnowiec","1805112"
"391","Chorkówka","1807012"
"392","Miejsce Piastowe","1807072"
"393","Wiśniowa","1209092"
"394","Grybów","1210011"
"395","Łabowa","1210082"
"396","Grybów","1210042"
"397","Łagiewniki","0202062"
"398","Lipno","0408011"
"399","Piaski","0617033"
"400","Mełgiew","0617022"
"401","Stegna","2210042"
"402","Ustka","2212011"
"403","Opinogóra Górna","1402072"
"404","Sońsk","1402092"
"405","Pilawa","1403103"
"406","Cieszanów","1809023"
"407","Lubaczów","1809042"
"408","Wielkie Oczy","1809082"
"409","Podegrodzie","1210142"
"410","Stary Sącz","1210163"
"411","Kotla","0203042"
"412","Malechowo","3213042"
"413","Ulhówek","0618132"
"414","Markowa","1810052"
"415","Ochotnica Dolna","1211102"
"416","Bukowno","1212011"
"417","Przeciszów","1213082"
"418","Koniusza","1214012"
"419","Nowe Brzesko","1214033"
"420","Bolków","0205023"
"421","Kobylanka","3214062"
"422","Stara Dąbrowa","3214092"
"423","Biała Podlaska","0661011"
"424","Włodawa","0619011"
"425","Wyryki","0619082"
"426","Pelplin","2214043"
"427","Sieciechów","1407072"
"428","Głowaczów","1407022"
"429","Rakszawa","1810062"
"430","Mielec","1811011"
"431","Gawłuszowice","1811042"
"432","Radomyśl Wielki","1811083"
"433","Chełmek","1213033"
"434","Stryszawa","1215072"
"435","Gromnik","1216022"
"436","Kłodzko","0208021"
"437","Mrocza","0410023"
"438","Brzuze","0412022"
"439","Grzmiąca","3215052"
"440","Szczebrzeszyn","0620133"
"441","Łęknica","0811011"
"442","Legionowo","1408011"
"443","Sienno","1409052"
"444","Jeżowe","1812032"
"445","Jarocin","1812022"
"446","Węgorzyno","3218053"
"447","Międzyrzec Podlaski","0601102"
"448","Rusiec","1001062"
"449","Kutno","1002011"
"450","Krośniewice","1002043"
"451","Dąbrowice","1002032"
"452","Olszewo-Borki","1415092"
"453","Troszyn","1415112"
"454","Ostrów Mazowiecka","1416011"
"455","Lipsko","1409033"
"456","Jadów","1434062"
"457","Przemyśl","1813082"
"458","Orły","1813072"
"459","Stubno","1813092"
"460","Kalwaria Zebrzydowska","1218033"
"461","Andrychów","1218013"
"462","Mucharz","1218052"
"463","Lanckorona","1218042"
"464","Świekatowo","0414102"
"465","Śliwice","0416052"
"466","Drelów","0601042"
"467","Janów Podlaski","0601052"
"468","Sosnówka","0601152"
"469","Tuczna","0601172"
"470","Zalesie","0601192"
"471","Gorzów Wielkopolski","0861011"
"472","Małkinia Górna","1416052"
"473","Osieck","1417062"
"474","Otwock","1417021"
"475","Somianka","1435042"
"476","Siemiątkowo","1437052"
"477","Tryńcza","1814082"
"478","Kraków","1261011"
"479","Malczyce","0218022"
"480","Udanin","0218052"
"481","Milicz","0213033"
"482","Józefów","0602073"
"483","Tarnogród","0602123"
"484","Tereszpol","0602132"
"485","Maszewo","0802072"
"486","Brójce","1006032"
"487","Radzanowo","1419102"
"488","Płock","1462011"
"489","Lubenia","1816102"
"490","Besko","1817022"
"491","Turośń Kościelna","2002112"
"492","Kwidzyn","2207011"
"493","Lubanie","0418102"
"494","Kowal","0418092"
"495","Lubień Kujawski","0418113"
"496","Rogowo","0419052"
"497","Katowice","2469011"
"498","Ruda-Huta","0603092"
"499","Dorohusk","0603042"
"500","Wierzbica","0603122"
"501","Nowe Miasteczko","0804063"
"502","Drzewica","1007023"
"503","Mała Wieś","1419082"
"504","Łąck","1419072"
"505","Wyszogród","1419153"
"506","Kędzierzyn-Koźle","1603011"
"507","Cisek","1603032"
"508","Sanok","1817052"
"509","Zaleszany","1818062"
"510","Wiązów","0217053"
"511","Bydgoszcz","0461011"
"512","Lisewo","0404042"
"513","Unisław","0404072"
"514","Będzin","2401011"
"515","Hrubieszów","0604042"
"516","Trzeszczany","0604062"
"517","Godziszów","0605042"
"518","Chrzanów","0605022"
"519","Kraśniczyn","0606062"
"520","Krasnystaw","0606011"
"521","Stare Kurowo","0806032"
"522","Pabianice","1008021"
"523","Strzelce Wielkie","1009072"
"524","Siemkowice","1009062"
"525","Brwinów","1421033"
"526","Lesko","1821033"
"527","Czyże","2005042"
"528","Prusice","0220023"
"529","Brenna","2403042"
"530","Kraśnik","0607052"
"531","Torzym","0807053"
"532","Potworów","1423052"
"533","Obryte","1424022"
"534","Praszka","1608043"
"535","Radłów","1608052"
"536","Borzęcin","1202012"
"537","Gnojnik","1202052"
"538","Zawonia","0220052"
"539","Wisznia Mała","0220042"
"540","Wałbrzych","0265011"
"541","Olsztyn","2404122"
"542","Starcza","2404162"
"543","Małomice","0810053"
"544","Zadzim","1011062"
"545","Świercze","1424052"
"546","Winnica","1424062"
"547","Przytyk","1425092"
"548","Jedlnia-Letnisko","1425062"
"549","Turawa","1609132"
"550","Biała","1610013"
"551","Mielnik","2010052"
"552","Jordanów Śląski","0223032"
"553","Bardo","0224013"
"554","Drawno","3202033"
"555","Jabłonna","0609062"
"556","Strzyżewice","0609122"
"557","Niedrzwica Duża","0609102"
"558","Kołczygłowy","2201042"
"559","Regnów","1013052"
"560","Błaszki","1014023"
"561","Brzeźnio","1014042"
"562","Skaryszew","1425103"
"563","Korczew","1426022"
"564","Sejny","2009052"
"565","Korycin","2011032"
"566","Bolesławiec","0201011"
"567","Osiecznica","0201052"
"568","Nieszawa","0401031"
"569","Nowogard","3204043"
"570","Czaplinek","3203013"
"571","Milejów","0610042"
"572","Spiczyn","0610062"
"573","Wojcieszków","0611102"
"574","Warta","1014093"
"575","Godzianów","1015032"
"576","Słupia","1015092"
"577","Sabnie","1429072"
"578","Michałowice","1206082"
"579","Rutka-Tartak","2012062"
"580","Ciechanowiec","2013023"
"581","Ciechocinek","0401021"
"582","Zakrzewo","0401092"
"583","Bobrowo","0402022"
"584","Górzno","0402053"
"585","Płoty","3205043"
"586","Wolin","3207063"
"587","Dębowa Kłoda","0613012"
"588","Pruszcz Gdański","2204011"
"589","Budziszewice","1016032"
"590","Rokiciny","1016072"
"591","Tomaszów Mazowiecki","1016092"
"592","Mirów","1430032"
"593","Błonie","1432013"
"594","Dębica","1803042"
"595","Pruchnik","1804073"
"596","Radymno","1804082"
"597","Kamienica","1207052"
"598","Gryfino","3206043"
"599","Zbąszyń","3015063"
"600","Lasowice Wielkie","1604032"
"601","Żukowice","0203062"
"602","Kamienna Góra","0207022"
"603","Mielno","3209053"
"604","Morawica","2604123"
"605","Pietrowice Wielkie","2411072"
"606","Goleszów","2403072"
"607","Dukla","1807023"
"608","Kietrz","1602043"
"609","Zakopane","1217011"
"610","Jabłonka","1211052"
"611","Piwniczna-Zdrój","1210133"
"612","Krynica-Zdrój","1210073"
"613","Urzędów","0607083"
"614","Zgorzelec","0225072"
"615","Zgorzelec","0225021"
"616","Złoty Stok","0224073"
"617","Świeradów-Zdrój","0210021"
"618","Nowa Ruda","0208112"
"619","Podgórzyn","0206082"
"620","Zielona Góra","0862011"
"621","Stepnica","3204073"
"622","Skierniewice","1015082"
"623","Myszyniec","1415083"
"624","Rybnik","2473011"
"625","Rawa Mazowiecka","1013011"
"626","Sędziszów Małopolski","1815043"
"627","Tyczyn","1816143"
"628","Tarnowskie Góry","2413041"
"629","Koszyce","1214023"
"630","Lubowidz","1437033"
"631","Dobromierz","0219032"
"632","Łódź","1061011"
"633","Cielądz","1013032"
"634","Andrzejewo","1416022"
"635","Lubawa","2807052"
"636","Tarnowo Podgórne","3021172"
"637","Małogoszcz","2602033"
"638","Tuczępy","2601072"
"639","Solec-Zdrój","2601052"
"640","Opatów","2606043"
"641","Miedziana Góra","2604102"
"642","Masłów","2604092"
"643","Mirzec","2611032"
"644","Skarżysko Kościelne","2610042"
"645","Suchedniów","2610053"
"646","Bogoria","2612012"
"647","Działoszyce","2608013"
"648","Kruklanki","2806052"
"649","Rychliki","2804082"
"650","Milejewo","2804052"
"651","Ełk","2805011"
"652","Biskupiec","2812022"
"653","Dywity","2814042"
"654","Węgorzewo","2819033"
"655","Pieniężno","2802053"
"656","Płoskinia","2802062"
"657","Lidzbark","2803043"
"658","Osieczna","3013033"
"659","Wijewo","3013062"
"660","Szamocin","3001053"
"661","Krzyż Wielkopolski","3002043"
"662","Odolanów","3017033"
