"","nazwa","teryt"
"1","śląskie","24"
"2","opolskie","16"
"3","wielkopolskie","30"
"4","zachodniopomorskie","32"
"5","świętokrzyskie","26"
"6","kujawsko-pomorskie","04"
"7","podlaskie","20"
"8","dolnośląskie","02"
"9","podkarpackie","18"
"10","małopolskie","12"
"11","pomorskie","22"
"12","warmińsko-mazurskie","28"
"13","łódzkie","10"
"14","mazowieckie","14"
"15","lubelskie","06"
"16","lubuskie","08"
